"","V1","V2","V3","V4"
"result.1",100,9.63900000000103,0.316999999999098,1.27299999999923
"result.2",100,9.84900000000016,0.352000000000771,1.43399999999929
"result.3",100,10.5490000000009,0.244000000000597,1.17999999999847
"result.4",100,9.37900000000081,0.251000000000204,1.18999999999869
"result.5",100,9.9320000000007,0.245999999999185,1.21999999999935
"result.6",100,9.66300000000047,0.274999999999636,1.43900000000031
"result.7",100,9.82500000000073,0.264000000001033,1.59399999999914
"result.8",100,9.3700000000008,0.385000000000218,1.41299999999865
"result.9",100,10.7780000000002,0.242000000000189,1.41800000000148
"result.10",100,10.4429999999993,0.227000000000771,1.14600000000064
"result.11",100,9.96800000000076,0.282999999999447,1.1299999999992
"result.12",100,10.0740000000005,0.22400000000016,1.23999999999978
"result.13",100,10.3320000000003,0.227999999999156,1.42599999999948
"result.14",100,10.6980000000003,0.244000000000597,1.05599999999868
"result.15",100,9.88400000000001,0.239999999999782,1.21899999999914
"result.16",100,10.5689999999995,0.238999999999578,1.16899999999987
"result.17",100,9.40899999999965,0.285999999998239,1.02100000000064
"result.18",100,9.95999999999913,0.220999999999549,1.01900000000023
"result.19",100,9.23699999999917,0.382999999999811,1.05299999999988
"result.20",100,9.82000000000153,0.292000000001281,1.17099999999846
"result.21",100,9.47299999999996,0.231999999999971,1.09699999999975
"result.22",100,9.68599999999969,0.245999999999185,0.989999999999782
"result.23",100,9.3179999999993,0.274999999999636,1.17599999999948
"result.24",100,9.88100000000122,0.311999999999898,1.09000000000015
"result.1",200,40.2090000000007,1.30099999999948,2.18299999999908
"result.2",200,41.3459999999995,1.10700000000179,2.04700000000048
"result.3",200,41.5280000000002,1.15499999999884,2.21700000000055
"result.4",200,41.6779999999999,1.42599999999948,2.27200000000084
"result.5",200,39.4740000000002,1.15600000000086,2.07000000000153
"result.6",200,40.2330000000002,1.23499999999876,2.54899999999907
"result.7",200,40.1100000000006,1.20499999999993,2.0679999999993
"result.8",200,39.1410000000014,1.09500000000116,2.6239999999998
"result.9",200,39.4099999999999,0.933999999999287,1.90899999999965
"result.10",200,39.5519999999997,0.877000000000407,2.28899999999885
"result.11",200,40.384,0.908999999999651,2.36599999999999
"result.12",200,40.3270000000011,0.983000000000175,1.93199999999888
"result.13",200,40.0450000000001,1.09900000000016,2.14099999999962
"result.14",200,40.5220000000008,0.940000000000509,1.80400000000009
"result.15",200,38.3389999999999,0.849999999998545,1.94900000000052
"result.16",200,40.2429999999986,0.879000000000815,2.32999999999993
"result.17",200,39.4450000000015,1.09500000000116,1.78899999999885
"result.18",200,40.0209999999988,1.05899999999929,1.68100000000049
"result.19",200,38.7129999999997,0.965000000000146,1.60900000000038
"result.20",200,40.2049999999999,1.05500000000029,1.68399999999929
"result.21",200,39.5750000000007,1.01699999999983,1.76000000000022
"result.22",200,40.482,0.962999999999738,1.61499999999978
"result.23",200,39.4589999999989,1.0570000000007,1.77800000000025
"result.24",200,40.0720000000001,1.21299999999974,1.70000000000073
"result.1",300,90.6639999999989,2.80500000000029,4.43000000000029
"result.2",300,90.8179999999993,2.1260000000002,3.67100000000028
"result.3",300,91.3180000000011,2.24300000000039,4.15999999999985
"result.4",300,90.3450000000012,2.32200000000012,4.51900000000023
"result.5",300,92.777,2.19700000000012,3.74099999999999
"result.6",300,90.8209999999999,2.68399999999929,3.99200000000019
"result.7",300,90.630000000001,2.06999999999971,4.28200000000106
"result.8",300,90.2240000000002,2.61799999999857,4.17799999999988
"result.9",300,89.7360000000008,2.3119999999999,3.39000000000124
"result.10",300,90.0920000000006,2.45700000000033,3.97899999999936
"result.11",300,89.625,2.45399999999972,4.13199999999961
"result.12",300,89.7439999999988,2.31400000000031,3.90599999999904
"result.13",300,87.8549999999996,2.27900000000045,3.58300000000054
"result.14",300,90.1790000000001,2.4270000000015,3.78299999999945
"result.15",300,88.9719999999998,2.30999999999949,3.95999999999913
"result.16",300,91.0509999999995,2.58699999999953,3.65099999999984
"result.17",300,91.6180000000004,4.20600000000013,3.21100000000115
"result.18",300,90.884,4.55099999999948,3.28899999999885
"result.19",300,91.0139999999992,4.94400000000132,3.28700000000026
"result.20",300,89.4789999999994,5.08299999999872,3.61599999999999
"result.21",300,88.9340000000011,4.1880000000001,3.77200000000084
"result.22",300,89.875,4.11100000000079,3.64700000000084
"result.23",300,90.7430000000004,3.79299999999967,3.76500000000124
"result.24",300,91.2870000000003,4.52900000000045,3.30999999999949
"result.1",400,-1,5.51499999999942,5.9940000000006
"result.2",400,-1,4.76400000000103,5.92399999999907
"result.3",400,-1,4.78000000000065,5.90099999999984
